"rules","support","confidence","lift","count"
"{CL=[14.7,25.7)} => {CW=[17.1,29.6)}",0.19,1,5,38
"{CW=[42.1,54.6]} => {CL=[36.6,47.6]}",0.245,1,3.57142857142857,49
"{RW=[15.6,20.2],CW=[42.1,54.6]} => {BD=[16.4,21.6]}",0.135,1,3.84615384615385,27
"{RW=[15.6,20.2],BD=[16.4,21.6]} => {CW=[42.1,54.6]}",0.135,1,4.08163265306122,27
"{RW=[15.6,20.2],CW=[42.1,54.6]} => {CL=[36.6,47.6]}",0.135,1,3.57142857142857,27
"{RW=[15.6,20.2],CL=[36.6,47.6]} => {CW=[42.1,54.6]}",0.135,1,4.08163265306122,27
"{sex=[0.667,1.000],CW=[42.1,54.6]} => {RW=[15.6,20.2]}",0.105,1,6.45161290322581,21
"{RW=[15.6,20.2],BD=[16.4,21.6]} => {CL=[36.6,47.6]}",0.135,1,3.57142857142857,27
"{RW=[15.6,20.2],CL=[36.6,47.6]} => {BD=[16.4,21.6]}",0.135,1,3.84615384615385,27
"{FL=[ 7.2,12.5),CL=[14.7,25.7)} => {CW=[17.1,29.6)}",0.17,1,5,34
"{FL=[ 7.2,12.5),CW=[17.1,29.6)} => {CL=[14.7,25.7)}",0.17,1,5.26315789473684,34
"{FL=[ 7.2,12.5),CL=[14.7,25.7)} => {BD=[ 6.1,11.3)}",0.17,1,4.34782608695652,34
"{FL=[ 7.2,12.5),CW=[17.1,29.6)} => {BD=[ 6.1,11.3)}",0.17,1,4.34782608695652,34
"{sex=[0.667,1.000],FL=[ 7.2,12.5)} => {BD=[ 6.1,11.3)}",0.105,1,4.34782608695652,21
"{sex=[0.000,0.333),FL=[ 7.2,12.5)} => {RW=[ 6.5,11.1)}",0.08,1,3.77358490566038,16
"{sex=[0.000,0.333),FL=[ 7.2,12.5)} => {index=[ 1.0,17.3)}",0.08,1,2.94117647058824,16
"{CL=[14.7,25.7),BD=[ 6.1,11.3)} => {CW=[17.1,29.6)}",0.185,1,5,37
